iter	MultiClass
0	1.040287327
1	0.9887834786
2	0.947773339
3	0.899821349
4	0.8603326154
5	0.8223158298
6	0.795220893
7	0.7678480579
8	0.7427970763
9	0.717524443
10	0.7010749655
11	0.6827770367
12	0.6560201293
13	0.6384829665
14	0.6166498701
15	0.5955698421
16	0.578919844
17	0.5619620387
18	0.5470818316
19	0.5274391079
20	0.5118784924
21	0.4952137381
22	0.4865354245
23	0.471867303
24	0.4582141873
25	0.4422828681
26	0.4299814887
27	0.4174274964
28	0.4053888728
29	0.3933819124
30	0.3833079752
31	0.374644391
32	0.3642379375
33	0.3542271528
34	0.3451375593
35	0.3351932202
36	0.3259541444
37	0.3182130668
38	0.3106761307
39	0.3023603449
40	0.2946593375
41	0.2858838375
42	0.2778253918
43	0.270023281
44	0.2657077884
45	0.260041666
46	0.2529917619
47	0.2461688825
48	0.2409723106
49	0.2353750256
50	0.2311654618
51	0.2249738993
52	0.2209092411
53	0.2153865065
54	0.211069496
55	0.2060924965
56	0.2018046609
57	0.1971555161
58	0.1933412223
59	0.1901640134
60	0.1854714573
61	0.1824335151
62	0.179067213
63	0.1751466899
64	0.1729301395
65	0.1693560029
66	0.1658665997
67	0.1628303478
68	0.1594606865
69	0.1557383165
70	0.1533459623
71	0.1500471363
72	0.147935932
73	0.1450364759
74	0.14219883
75	0.1388065829
76	0.1358850861
77	0.1345213309
78	0.1323397636
79	0.1306621524
80	0.1283301604
81	0.125557005
82	0.1236371615
83	0.1218840804
84	0.1195186771
85	0.1169669507
86	0.1152794253
87	0.1133648538
88	0.1117444914
89	0.1101988237
90	0.1078817138
91	0.1062538068
92	0.104848091
93	0.102618434
94	0.1005731099
95	0.09937276119
96	0.09771902053
97	0.09636917652
98	0.09462758039
99	0.09290112228
100	0.09168464109
101	0.09014679627
102	0.08882587666
103	0.08742492814
104	0.08605358775
105	0.08480285563
106	0.08337358599
107	0.08218937526
108	0.08145381352
109	0.08056940644
110	0.07960095162
111	0.07836673884
112	0.07691858098
113	0.07598059996
114	0.07473239475
115	0.07345166966
116	0.07219236834
117	0.07130808924
118	0.07014606072
119	0.06884735671
120	0.06788772444
121	0.06722418533
122	0.0661684689
123	0.06522114761
124	0.06466728854
125	0.06448409714
126	0.0636809933
127	0.06274301965
128	0.0620889913
129	0.06152188048
130	0.06073072803
131	0.0599121418
132	0.05933333106
133	0.05846254028
134	0.05770697457
135	0.05714588729
136	0.05659779635
137	0.05583537465
138	0.05524326721
139	0.05444889975
140	0.05388750851
141	0.05360869071
142	0.05286764883
143	0.05221611984
144	0.05153438346
145	0.05078707039
146	0.05029887084
147	0.04955536843
148	0.04884224898
149	0.04812442795
150	0.04782143541
151	0.04717414412
152	0.04649535986
153	0.04599300848
154	0.04538985845
155	0.04480735159
156	0.04443062374
157	0.0438652332
158	0.04351780094
159	0.04300902843
160	0.04248270253
161	0.04217220528
162	0.04164918432
163	0.04112839076
164	0.04057946346
165	0.03998568368
166	0.03950205596
167	0.03904609224
168	0.03857941701
169	0.03821096761
170	0.0377709481
171	0.03752119932
172	0.03723207134
173	0.03715044648
174	0.03676461943
175	0.03650287968
176	0.03610791879
177	0.0355985943
178	0.03514147324
179	0.03491630494
180	0.0344669046
181	0.03409819692
182	0.03385565296
183	0.0334284276
184	0.03307858935
185	0.03285145925
186	0.03260522573
187	0.03224138157
188	0.03201815231
189	0.03159136841
190	0.03122570517
191	0.03095635548
192	0.03077630755
193	0.03047077733
194	0.03012613296
195	0.02983063731
196	0.02967534038
197	0.02934516335
198	0.02906373581
199	0.02875169652
200	0.02855978277
201	0.02823704288
202	0.02799573757
203	0.02770986846
204	0.02741399858
205	0.02714557203
206	0.02701987972
207	0.02686020357
208	0.02660288165
209	0.02632864495
210	0.02608756709
211	0.02583913975
212	0.0256120943
213	0.02537084133
214	0.02524263088
215	0.02501068746
216	0.02486721134
217	0.02461428399
218	0.02437428382
219	0.0240752395
220	0.02384671494
221	0.02372691098
222	0.02359202946
223	0.02339778038
224	0.023191675
225	0.02297390543
226	0.02277820239
227	0.02258749099
228	0.02240159757
229	0.02218731767
230	0.02197975937
231	0.02179924982
232	0.02162321748
233	0.02152272917
234	0.02135280853
235	0.02118701267
236	0.02097998223
237	0.02078042282
238	0.02071012081
239	0.02052420219
240	0.02042292883
241	0.02031973661
242	0.02013791546
243	0.01998294504
244	0.01988658299
245	0.01979964319
246	0.01966861958
247	0.01957436818
248	0.01945767137
249	0.01936590444
250	0.019202626
251	0.01906130656
252	0.01898013054
253	0.01889808277
254	0.01872916174
255	0.01860520244
256	0.01854201762
257	0.01839911452
258	0.01824310775
259	0.01809186029
260	0.01798429863
261	0.01792953403
262	0.01787176845
263	0.01774648023
264	0.0176008954
265	0.01753514723
266	0.01746411646
267	0.01738918649
268	0.01733934719
269	0.01722371309
270	0.01708629085
271	0.01701331611
272	0.01695447604
273	0.01684081977
274	0.01670169424
275	0.01659024965
276	0.01647490706
277	0.01639814629
278	0.01629764164
279	0.01616911463
280	0.01611359309
281	0.01599414779
282	0.01592825694
283	0.01583076682
284	0.01576850746
285	0.01567000616
286	0.01560827622
287	0.01548994372
288	0.0153804801
289	0.01531831334
290	0.01525873053
291	0.01520150392
292	0.01514033108
293	0.01504252051
294	0.01493729348
295	0.01482825987
296	0.01473290046
297	0.01463949109
298	0.01454222518
299	0.01445265397
300	0.01435209355
301	0.01424795009
302	0.01419501401
303	0.01409705558
304	0.01404461852
305	0.01399445309
306	0.01389613702
307	0.0138104681
308	0.01372897404
309	0.01368796594
310	0.01359446456
311	0.01354841832
312	0.01351365719
313	0.01346970782
314	0.01342236668
315	0.01333238905
316	0.01324779679
317	0.01317460684
318	0.01310769812
319	0.01307309623
320	0.01298772376
321	0.01290692208
322	0.01282750396
323	0.01277503807
324	0.01273103105
325	0.0127030357
326	0.01262560672
327	0.01254588641
328	0.01252064634
329	0.01244677721
330	0.01237471985
331	0.01236402245
332	0.01232684433
333	0.01229198143
334	0.01222212906
335	0.01214889469
336	0.01210729241
337	0.01203553324
338	0.01199167623
339	0.01192035691
340	0.01185063502
341	0.01181621134
342	0.01174948323
343	0.01171032716
344	0.01164541039
345	0.01163801394
346	0.01160236004
347	0.0115748524
348	0.0115403566
349	0.01146868408
350	0.01140524127
351	0.01134354523
352	0.0112831921
353	0.01124349328
354	0.01118669855
355	0.01112787106
356	0.01106716481
357	0.01104330406
358	0.01100972423
359	0.01098869
360	0.01093474648
361	0.01088176997
362	0.01085946295
363	0.01080280871
364	0.01074712901
365	0.01069239942
366	0.01066253989
367	0.01061360483
368	0.01055382774
369	0.0104954925
370	0.01043907089
371	0.01041639493
372	0.01039731246
373	0.0103671933
374	0.01033704205
375	0.01031785455
376	0.01028770286
377	0.01026612263
378	0.01024096532
379	0.01018508598
380	0.01013910429
381	0.01011508126
382	0.01008303673
383	0.01005546384
384	0.01000402741
385	0.009951623167
386	0.009910765038
387	0.009865770103
388	0.009837612022
389	0.009814461509
390	0.009764104397
391	0.009714770673
392	0.009666213714
393	0.009618198734
394	0.009597885925
395	0.009551597882
396	0.009506158231
397	0.009479697109
398	0.009434581066
399	0.009390788613
400	0.009363519852
401	0.009342654841
402	0.009320123417
403	0.009276411436
404	0.009233382594
405	0.009185752695
406	0.009135049409
407	0.009093805437
408	0.009068581204
409	0.009025729198
410	0.00901130271
411	0.008989188566
412	0.008947440743
413	0.008926337165
414	0.008884897104
415	0.008869664639
416	0.008855690377
417	0.00881539092
418	0.008775701489
419	0.008768836322
420	0.00872785419
421	0.008706390366
422	0.008666409542
423	0.008641623859
424	0.008599612538
425	0.008561957424
426	0.008545615037
427	0.008524454295
428	0.008486336863
429	0.008468406408
430	0.008428485059
431	0.008413701671
432	0.008400079192
433	0.008381391027
434	0.008345568428
435	0.008308122809
436	0.008290933446
437	0.008253831107
438	0.008232517015
439	0.008197705764
440	0.008178870706
441	0.008165830135
442	0.008129049037
443	0.008094572136
444	0.00806077492
445	0.008041896872
446	0.008029062159
447	0.007995811686
448	0.007962333951
449	0.007928183338
450	0.00789568451
451	0.007862682095
452	0.007831260414
453	0.007798970182
454	0.007767128589
455	0.007749365281
456	0.007718663794
457	0.007699480421
458	0.007681400078
459	0.007665041709
460	0.007634402816
461	0.007603144126
462	0.007572949597
463	0.007555625184
464	0.007539957865
465	0.00751038421
466	0.007495347767
467	0.007464948548
468	0.00743596728
469	0.007407370161
470	0.007379149576
471	0.007351298104
472	0.007321555864
473	0.007305655078
474	0.007278343347
475	0.007249973553
476	0.007219936115
477	0.007203373593
478	0.00717470219
479	0.007161980905
480	0.007134728234
481	0.007106922402
482	0.007094928772
483	0.007090921939
484	0.007064056066
485	0.007048591423
486	0.007033264333
487	0.006998046746
